 개미네 집 주소는?| 허리도 가늘군 만지면 부러지리.
 세상에서 가장 잔인한 비빔밥은?|산채비빔밥
 슈퍼맨이 어렸을 때를 뭐라고 할까?|슈퍼주니어
 사자를 잡아다 끓인 국은?|동물의 왕국
 가장 강한 세균은?|대장균
 먹을 수 없는 떡은?|그림의 떡
 곰은 사과를 어떻게 먹을까?|베어먹음
 시간이 갈수록 환해지는 것은?|흰머리
 세상에서 가장 큰 콩은?|홍콩
 꿩 먹고 알도 먹는 사람은?|꿩 주인
 가장 기분 좋은 바람은?|신바람
 옷에 걸고 다니는 빵은?|멜빵
 세상에서 가장 행복한 바다는?|사랑해
 산토끼의 반대말은?|판토끼
 먹지 못하는 닭은?|까닭
 아무리 예뻐도 미녀라고 못하는 사람은?|미남
 '타자'의 반대말은?|안타
 아무리 빨리 달려도 앞서가지 못하는 것은?|자동차 뒷바퀴
 '창이 날라오니까 피해'를 3글자로 하면?|창피해
 지방 흡입의 반대말은?|수도권 배출
 입이 S자로 되어 있으면?|EBS
 설날에 용돈을 하나도 못 받으면?|설거지
 당신이 기쁨을 느끼면?|유희열
 세상에서 가장 팔힘이 센 사람은?|암스트롱
 중국인이 말한 1+1의 답은?|이다해
 양이 높은 곳에 있으면?|고양이
 키보다 크면?|키위
 전화로 세운 건물은?|콜로세움
 세상에서 가장 외로운 왕은?|솔로몬
 학생들이 가장 싫어하는 피자는?|책 피자
 세상에서 가장 믿을 만한 오리는?|미더덕
 고양이가 죽어서 지옥에 가면?|헬로키티
 직접 만든 총은?|손수건
 세상에서 가장 멍청한 개는?|무지개
 신하가 왕한테 공 던지면서 하는 말은?|송구하옵니다
 '체리야'하고 부르자 대답하길?|체리블로썸
 모든 싱글들에게 짝은?|벙글
 4명이 오줌을 싸면?|포뇨
 '비가 내일 비행기로 LA에 간다'를 4글자로?|LA갈비
 세상에서 가장 추운 바다의 이름은?|썰렁해
 도둑이 도둑질하러 가는 걸음걸이를 4글자로?|털레털레
 소가 웃는 소리를 3글자로?|우하하
 사람이 3명만 들어갈 수 있는 차는?|인삼차
 코끼리 2마리가 서로 싸워, 둘 다 코가 떨어져 나갔다면 어떻게 될까?|끼리끼리
 귀에 발이 달렸으면?|당나귀
 깎으면 깎을수록 커지는 것은?|구멍
 다섯은 당기고 다섯은 들어가는 것은?|장갑
 먹으면 죽는데 안 먹을 수 없는 것은?|나이
 이 세상에서 가장 큰 작은 문은?|소문
 별 중에 가장 슬픈 별은?|이별
 목수도 고칠 수 없는 집은?|고집
 스타들이 싸우는 모습을 뭐라고 할까?|스타워즈
 세계에서 몸집이 제일 큰 여자의 이름은?|태평양
 세상에서 기장 아름다운 개는?|무지개
 입으로 먹지 않고 귀로 먹는 것은?|욕
 정조대왕의 가족은?|이산가족
 먹지 못하는 묵은?|침묵
 하늘과 땅 사이에 있는 것은?|과
 1 더하기 1은?|노동
 2 더하기 2는?|덧니
 아몬드가 죽으면?|다이아몬드
 장님도 몰 수 있는 것은?|꿈
 떼돈을 벌려면?|목욕탕
 예쁜데 속이 텅 빈 여자는?|마네킹
 앞과 뒤가 똑같은 날은?|일요일
 사람이 즐겨 먹는 피는?|커피
 알파벳은 모두 몇 글자인가?|3글자
 용 2마리가 서로 죽도록 싸우는 모습을 5글자로 나타내면?|용용 죽겠지
 손님이 깎아 달라는 대로 다 깎아 주는 사람은?|이발사
 가까워도 서로 못 보고 사는 것은?|눈
 개 중에서 가장 큰 개는?|안개
 탈 중에서 못 쓰는 탈은?|배탈
 허수아비의 아들 이름은?|허수
 잠자는 소는?|주무소
 가짜 휘발유를 만들 때 가장 많이 들어가는 재료는?|진짜 휘발유
 호주의 떡은?|호떡
 '보통'이 커지면?|곱빼기
 슈퍼주니어 신동 옆에 있는 사람은 누구?|신동엽
 추운 겨울에 가장 많이 찾는 끈은?|따끈따끈
 결혼한 스님이 여자 두 명하고 또 결혼하면?|첩첩산중
 최지우가 기르는 개 이름은?|지우개
 많이 맞을수록 좋은 것은?|시험문제
 날마다 가슴에 흑심을 품고 있는 것은?|연필
 눈사람의 반대말은?|일어선 사람
 사람들이 가장 좋아하는 물은?|선물
 둘리가 재학 중인 고등학교 이름은?|빙하 타고
 눈 깜짝할 사이에 할 수 있는 일은?|윙크
 꽃이 제일 좋아하는 벌은?|재벌
 중학생과 고등학생이 타는 차는?|중고차
 거꾸로 들어도 바로 보이는 것은?|거울
 남이 이상해야 먹고사는 사람은?|치과의사
 땀을 흘릴 수록 작아지는 것은?|얼음
 물에서 태어났으면서도 물에 들어가면 죽는 것은?|소금
 사람은 드나들 수 없고 이리저리 돌아다니는 문은?|소문
 둘어가는 구멍은 하나인데 나오는 구멍은 둘인 것은?|바지
 바다와 육지 사이에 있는 것은?|와
 손님이 올 때마다 끌려 나오는 것은?|방석
 주방장들이 가장 싫어하는 도시는?|상해
 언제나 잘못을 비는 나무는?|사과나무
 세상에서 가장 더러운 강은?|요강
 듣지 못하는 귀는?|뼈다귀
 굶는 사람이 많은 나라는?|헝가리
 세상에서 가장 달콤한 술은?|입술
 호랑이와 고래 사이에서 태어난 말은?|거짓말
 차도가 없는 나라는?|인도
 제일 교육을 많이 받은 물고기는?|고등어
 항상 같은 길로만 다니는 것은?|기차
 마른 옷은 벗고 젖은 옷만 입는 것은?|빨랫줄
 사람들이 살면서 가장 많이 하는 소리는?|숨소리
 서울에 사는 거지는?|설거지
 '아이 추워'의 반대말은?|어른 더워
 길거리에서 시주를 받는 스님들을 무슨 중이라고 할까?|영업 중
 많이 먹을수록 화나는 것은?|욕
 임금의 아버지는?|부킹
 경마장에서 하는 장난은?|말장난
 돼지가 열받으면 어떻게 되나?|바비큐
 공부해서 남주는 사람은?|교사
 사 온다고 하면서도 못 사 오는 것은?|못
 읽을 수 없는 책은?|주책
 아 배불러|바다 건너게
 사람이 즐겨 먹는 제비는?|수제비
 세상에서 가장 큰 코는?|멕시코
 수학을 한 글자로?|솩
 담배가 경마장에 간 이유는?|말보로
 타이타닉의 구명보트에는 몇 명이 탈 수 있을까?|9명
 죽이다의 반대말은?|밥이다
 어두울 때면 우리 머리를 풀어 헤치고 물을 흘리는 것은?|양초
 진짜 새의 이름은?|참새
 청소하는 여자를 세자로?|청소년
 다리 두 개에 갈비뼈만 앙상한 것은?|사다리
 눈 오는 날만 일하는 사람은?|안과의사
 앞으로 나가면 지고 뒤로 물러나면 이기는 것은?|줄다리기
 세상에서 가장 빨리 자는 사람은?|이미자
 자꾸 맞아야 사는 것은?|팽이
 닦을수록 더러워지는 것은?|걸레
 얼굴은 여섯이고 눈은 21인 것은?|주사위
 앉으면 높아지고 서면 낮아지는 것은?|천장
 다 자랐는데도 자라라고 하는 것은?|자라
 세상에서 가장 행복한 바다는?|사랑해
 고개를 숙이고 눈물 흘리는 것은?|수도꼭지
 타는 것인데 앞뒤로 못 움직이는 것은?|엘리베이터
 한쪽 발은 가만있고 다른 발만 돌아다니는 것은?|컴퍼스
 먹지 못하는 감은?|영감
 흥부가 자식을 20명 낳았다를 5글자로?|흥부 힘 좋다.
 진짜 문제투성이인 것은?|시험지
 잘생긴 부처는?|부처핸썸
 팥쥐의 깨진 독을 수리해 준 사람은?|독수리 오형제
 슈퍼맨의 가슴에'S'자는 무엇의 약자인가?|스판
 내가 먹으면 맛이 없고 다른 사람이 먹어야 맛있는 탕은?|골탕
 서울에 있는 대학을 무엇이라 하는가?|서울대
 남의 눈으로 먹고사는 사람은?|안과의사
 늙을수록 몸이 고와지는 것은?|과일
 세상에서 가장 빨리 만들어지는 떡은?|헐레벌떡
 하루아침에 온 세상을 내다볼 수 있는 문은?|신문
 다운로드의 반대말은?|다웃은로드
 문을 두드리고 있는 여자를 다섯 글자로 하면?|똑똑한 여자
 엄마가 길을 잃으면?|맘마미아
 벌거벗은 남자를 그린 그림은?|전라남도
 우리나라에서 김이 가장 많이 나는 곳은?|목욕탕
 슈퍼마켓에서 일하는 남자를 3글자로?|슈퍼맨
 스님들이 걱정하지 않아도 되는 병은?|탈모
 스캔들 하나 없는 연예인은?|노사연
 개와 사람이 동업을 하면?|개인사업
 먹지 않고 뱉는 약은?|치약
 세상에서 가장 더운 남자는?|덥군
 신경통 환자가 가장 싫어하는 악기는?|비올라
 하늘에 콩이 2개나 있다를 뭐라고 할까?|스카이 콩콩
 세상에서 가장 착한 사자는?|자원봉사자
 한 아이가 산에서 밑에 있는 할아버지에게 올라오라고 한 말은?|산타 할아버지
 수학 책을 난로 위에 놓으면?|수학 익힘책
 둘리가 다니는 고등학교는?|요리보고
 웃으면서 인사하다를 3글자로 하면?|하이킥
 세상에서 가장 추잡스럽기 짝이 없는 개는?|꼴불견
 비가 오는 날에는 환자가 없다를 4글자로?|유비무환
 도둑이 훔친 돈을 뭐라고 할까?|슬그머니
 옷을 가장 많이 해 입는 나라는?|가봉
 달걀을 팔고 받은 돈은?|에그머니
 울다가 다시 웃는 사람을 뭐라고 할까?|아까운 사람
 아프지도 않는데 매일 집에서 쓰는 약은?|치약
 추장보다 높은 사람은?|고추장
 고추장보다 높은 사람은?|초고추장
 초고추장보다 높은 사람은?|태양초고추장
 설경구가 녹으면?|물경구
 미술학과 학생들이 타고 다니는 버스는?|캔버스
 물고기 중 가장 학력이 좋은 물고기는?|닥터피쉬
 꽃가게 주인이 가장 싫어하는 도시는?|시드니
 여름마다 일어나는 전쟁은?|더워
 화장실에 다녀온 원숭이를 뭐라고 할까?|일본원숭이
 세상에서 가장 긍정적인 동물은?|돼지
 세상에서 가장 정력이 좋은 왕은?|관계또대왕
 천주교 신자가 성당에서 예배드리는 일은?|미사일
 수학을 가장 잘했던 조선시대 임금은?|연산군
 미꾸라지의 반대말은?|미꾸스몰
 미꾸라지보다 더 큰 물고기는?|미꾸엑스라지
 밤에 성시경이 2명 있으면?|야간투시경
 거지가 싫어하는 색은?|인색
 애플에서 나온 술은?|맥주
 아이스크림이 죽으면?|다이하드
 왕과 작별 인사를 뭐라고 할까?|바이킹
 3월에 대학생이 강한 이유는?|개강해서
 소가 한 마리면?|소원
 소가 두 마리면?|투우
 소가 네 마리면?|소포
 소가 여러 마리면?|소스
 소가 죽으면?|다이소
 백범 김구 선생이 여자를 때리면?|여자친구
 침대를 밀고 돌리면?|배드민턴
 김밥이 죽으면 어디로 갈까?|김밥천국
 노인이 가장 좋아하는 폭포는?|나이야가라
 사오정이 다니는 학교는?|뭐라고
 도둑이 싫어하는 과자는?|누네띠네
 미국에서 비가 내리면?|USB
 왕이 담배를 피우면?|스모킹
" ""일본에 사냐?""를 다른 말로?"|왜사니?
 이순신 장군이 일본에 선전포고를 했을 때 했던 말은?|왜 로 워
 배트맨의 국적은?|일본(브루스 왜인)
 일식을 영어로 하면?|왜이팅
 가나초콜릿이 단 이유는?|가나다라
 닭의 부인은?|닭처
 나무 다섯 그루는?|오목
 토끼가 빗는 빗은?|래빗
 논리적인 사람이 총 쏘면?|타당
 왕이 꿈틀 되면?|왕꿈틀
 용과 용이 만나면?|용접
 세상에서 가장 얇은 바위는?|머리카락(rock)
 펭귄이 신는 신발은?|빙신
 낮에만 가는 시계는?|해시계
 육지에 사는 고래는?|술고래
 작아도 크다고 하는 나무는?|대나무
 만두 가게 주인이 가장 싫어하는 말은?|속 터져
 가장 엄숙하지 않은 절은?|안절부절
 신혼부부가 좋아하는 곤충은?|잠자리
 곰이 물구나무를 서면?|문
 담배는 있는데 라이터가 없는 사람은?|불필요한 사람
 라이터는 있는데 담배가 없는 사람은?|불만있는 사람
 삶은?|달걀
 뚱뚱한 사람들이 모여있는 동네는?|개포동
 덜 뚱뚱한 사람들이 모여있는 동네는?|반포동
 돌잔치를 영어로 하면?|락페스티벌
 깨가 죽으면?|주근깨
 사람이 항상 가지고 다니는 흉기는?|머리칼
 잘생긴 가위는?|핸섬가이
 우주인들이 술 마시는 곳은?|스페이스바
 오리를 생으로 먹으면?|회오리
 플러스와 마이너스가 싸우면 누가 이김?|플러스가 덧셈
 식인종이 우사인 볼트를 보면?|패스트푸드
 과자가 감옥에서 출소 후 자기소개를 하면?|전과자
 무가 눈물을 흘리면?|무뚝뚝
 콩 한 알을 영어로 하면?|원빈
 아재들이 좋아하는 소?|와이프 집 나갔소
 매일 미안한 동물은?|오소리
 세상에서 가장 쉬운 숫자는?|190,000
 용이 하늘로 올라간다를 4글자로 하면?|올라가용
 대한민국 연예인 중 가장 큰 차를 타고 다니는 연예인은?|버스커버스커
 부산 앞바다 반대말은?|부산 엄마다
 가수 테이가 병원에 입원한 까닭은?|가슴 아파서~ 목이 메어서~
 해가 울었던 장소는?|해운대
 비가 빅뱅에 안 들어간 이유는?|태양을 피하고 싶어서
 불이 4개 있으면?|사파이어
 열두 달 중 뱀과 벌이 없는 달은?|11월(노뱀벌)
 비가 1시간 동안 내리면?|추적 60분
 핑거(Finger) 반대말?|오무린거
 고양이를 싫어하는 동물은?|미어캣
 김밥이 경찰서에 간 이유는?|참깨가 고소해서
 슈렉 엄마 이름은?|녹색 어머니
 헤어 나올 수가 없는 것은?|대머리
 서울로 가는 소는?|소설가
 책 중에 가장 읽기 힘든 책은?|지침서
 김태희가 영화를 혼자 보면?|무(無)비
 전주비빔밥의 반대말은?|이번 주 비빔밥
 세상에서 가장 못생긴 새는?|니 생김새
 우리나라에서 가장 화나 있는 도시는?|성남
 신을 낳은 아기는?|갓난 아기
 네이마르가 헤딩골을 넣으면?|내 이마로 넣었어
 지진이 일어날 때 절대 부르면 안 되는 노래는?|동요
